contrato_id;fecha_desembolso;tipo_contrato;tipo_credito;motivo_prestamo;canal_originacion;zona;tipo_inmueble;valor_inmueble_soles;vive_en_inmueble;loan_amount_soles;ltv;plazo_meses;tasa_tea_ofertada;descuento_negociacion_pp;tasa_tea_final;cuota_mensual_soles;ratio_cuota_ingreso;edad;genero;estado_civil;sector_laboral;antiguedad_laboral_anios;ingreso_neto_mensual;score_crediticio;numero_cuentas_activas;deuda_total_sistema_soles;ratio_deuda_ingreso;numero_dependientes;tiene_garantia_adicional;fecha_cancelacion;motivo_cancelacion;duracion_efectiva_meses;meses_transcurridos;max_dias_atraso;meses_con_atraso;par60;estado_credito;prepago;refinanciado;atraso_m001;atraso_m002;atraso_m003;atraso_m004;atraso_m005;atraso_m006;atraso_m007;atraso_m008;atraso_m009;atraso_m010;atraso_m011;atraso_m012;atraso_m013;atraso_m014;atraso_m015;atraso_m016;atraso_m017;atraso_m018;atraso_m019;atraso_m020;atraso_m021;atraso_m022;atraso_m023;atraso_m024;atraso_m025;atraso_m026;atraso_m027;atraso_m028;atraso_m029;atraso_m030;atraso_m031;atraso_m032;atraso_m033;atraso_m034;atraso_m035;atraso_m036;atraso_m037;atraso_m038;atraso_m039;atraso_m040;atraso_m041;atraso_m042;atraso_m043;atraso_m044;atraso_m045;atraso_m046;atraso_m047;atraso_m048;atraso_m049;atraso_m050;atraso_m051;atraso_m052;atraso_m053;atraso_m054;atraso_m055;atraso_m056;atraso_m057;atraso_m058;atraso_m059;atraso_m060;atraso_m061;atraso_m062;atraso_m063;atraso_m064;atraso_m065;atraso_m066;atraso_m067;atraso_m068;atraso_m069;atraso_m070;atraso_m071;atraso_m072;atraso_m073;atraso_m074;atraso_m075;atraso_m076;atraso_m077;atraso_m078;atraso_m079;atraso_m080;atraso_m081;atraso_m082;atraso_m083;atraso_m084;atraso_m085;atraso_m086;atraso_m087;atraso_m088;atraso_m089;atraso_m090;atraso_m091;atraso_m092;atraso_m093;atraso_m094;atraso_m095;atraso_m096;atraso_m097;atraso_m098;atraso_m099;atraso_m100;atraso_m101;atraso_m102;atraso_m103;atraso_m104;atraso_m105;atraso_m106;atraso_m107;atraso_m108;atraso_m109;atraso_m110;atraso_m111;atraso_m112;atraso_m113;atraso_m114;atraso_m115;atraso_m116;atraso_m117;atraso_m118;atraso_m119;atraso_m120
PGH-00001;2/01/2018;cuota fija;NOR;Construcción/Remodelación;Digital;Cusco;Casa;140197;1;24000;0.1709;84;13.28;0;13.28;440.27;0.0666;35;M;Soltero/a;Independiente formal;18.5;6614.73;581;2;21464.58;0.2704;4;0;;;79;79;90;43;0.0886;Atraso severo;0;0;5;1;10;10;10;10;9;3;0;0;0;0;90;82;82;74;68;68;68;57;43;42;42;28;17;9;9;7;7;4;0;0;1;0;0;5;60;45;37;26;18;18;5;5;0;0;0;0;0;0;5;4;0;0;0;0;0;0;0;0;0;10;3;0;0;0;0;10;7;3;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PGH-00002;3/01/2018;cuota fija;NOR;Capital de trabajo;Presencial;Lima Norte;Departamento;496702;1;320000;0.6446;108;17.41;0.75;16.66;5736.76;1.7619;61;M;Soltero/a;Independiente informal;1.8;3255.92;480;7;14651.38;0.375;0;1;;;79;79;60;39;0;Atraso moderado;0;0;0;60;51;37;27;27;21;21;15;5;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;30;24;24;24;22;22;12;11;0;10;10;1;0;0;0;0;0;0;0;0;1;0;0;5;1;5;0;0;0;0;60;60;54;47;46;46;42;42;35;26;22;15;14;2;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PGH-00003;3/01/2018;cuota mixta;RYA;Construcción/Remodelación;Presencial;Lima Centro;Casa;406793;1;131000;0.3225;24;9.19;0;9.19;5996.13;1.966;41;F;Soltero/a;Independiente formal;12.7;3049.86;692;2;15681.44;0.4285;3;0;24/12/2019;Cumplimiento de plazo;24;24;1;2;0;Atraso leve;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PGH-00004;3/01/2018;cuota fija;NOR;Consolidación de deudas;Digital;Lima Moderna;Departamento;146447;1;97000;0.6639;36;15.29;0;15.29;3376.33;1.32;46;F;Soltero/a;Independiente informal;10.1;2557.74;534;8;52415.04;1.7077;2;0;18/12/2020;Cumplimiento de plazo;36;36;30;18;0;Atraso leve;0;0;10;0;0;1;0;0;0;0;0;0;1;5;0;30;30;27;21;14;5;0;0;1;0;0;1;0;10;7;7;0;0;5;5;0;0;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PGH-00005;5/01/2018;cuota mixta;NOR;Adquisición de activos;Digital;Lima Centro;Oficina;242273;1;165000;0.6803;60;12.25;0;12.25;3691.21;1.8865;35;F;Casado/a;Dependiente público;20;1956.62;680;1;32536.53;1.3857;1;1;10/12/2022;Cumplimiento de plazo;60;60;90;20;0.0667;Atraso severo;0;0;0;0;0;0;0;0;0;90;90;76;70;60;45;31;22;10;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;60;50;43;41;32;32;30;22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PGH-00006;5/01/2018;cuota puente;RYA;Consolidación de deudas;Digital;Lima Centro;Departamento;338739;1;287000;0.8474;72;14.8;0;14.8;6037.49;1.8749;44;M;Casado/a;Independiente formal;5.5;3220.09;687;2;61824.79;1.6;3;0;5/12/2023;Cumplimiento de plazo;72;72;10;4;0;Atraso leve;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;1;0;0;0;0;0;0;5;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PGH-00007;6/01/2018;cuota fija;NOR;Capital de trabajo;Digital;Lima Sur;Departamento;414588;1;335000;0.8085;84;18.11;0;18.11;7062.59;1.4437;47;F;Casado/a;Dependiente público;14.7;4891.94;571;4;60065.4;1.0232;1;0;;;78.9;78;90;36;0.0641;Atraso severo;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;1;30;21;13;4;0;0;0;0;0;0;90;90;78;63;63;53;40;34;32;20;9;5;0;0;0;0;5;5;0;0;0;10;7;0;0;0;0;0;1;5;4;1;0;0;0;0;10;9;30;23;23;18;16;6;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PGH-00008;6/01/2018;cuota fija;NOR;Consolidación de deudas;Presencial;Otras Regiones;Departamento;166152;1;32000;0.1948;84;11.89;0;11.89;563.01;0.4528;47;M;Soltero/a;Dependiente público;2.6;1243.45;680;3;22559.82;1.5119;1;0;;;78.9;78;90;30;0.141;Atraso severo;0;0;0;0;0;0;0;0;0;0;0;0;0;90;81;81;71;64;55;52;41;26;14;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;30;18;6;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;90;77;74;70;66;65;54;54;46;46;33;23;14;2;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PGH-00009;7/01/2018;cuota fija;NOR;Adquisición de activos;Presencial;Lima Este;Oficina;524460;1;286000;0.5447;108;13.32;0.25;13.07;4517.04;1.0063;30;M;Casado/a;Dependiente privado;10.5;4488.85;649;5;80404.54;1.4927;0;0;;;78.9;78;10;5;0;Atraso leve;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PGH-00010;7/01/2018;cuota fija;NOR;Construcción/Remodelación;Presencial;Lima Moderna;Departamento;821942;1;223000;0.2715;72;10.39;1;9.39;4062.99;1.1258;25;M;Casado/a;Independiente formal;5.9;3609.11;642;6;78451.14;1.8114;4;0;18/10/2021;Venta del inmueble;46;72;10;11;0;Atraso leve;1;0;0;0;0;0;0;0;0;0;1;0;10;5;4;0;0;10;9;1;0;0;0;0;10;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
